,年齡層,道路型態,車種,事故型態,群
682,2,交岔路,機車,A2,0
683,2,交岔路,小客車,A2,2
684,2,交岔路,機車,A2,0
685,2,交岔路,小客車,A2,2
686,1,交岔路,小客車,A2,2
687,0,單路部分,機車,A2,1
688,2,交岔路,機車,A2,0
689,0,交岔路,機車,A2,0
690,1,單路部分,機車,A2,1
691,1,交岔路,小客車,A2,2
692,1,交岔路,小客車,A2,2
693,2,單路部分,機車,A2,1
694,1,交岔路,小客車,A2,2
695,0,交岔路,機車,A2,0
696,1,單路部分,小貨車(含客、貨兩用),A2,3
697,2,交岔路,機車,A2,0
698,2,交岔路,機車,A2,0
699,1,單路部分,小客車,A2,3
700,1,交岔路,小客車,A2,2
701,2,交岔路,機車,A2,0
702,1,單路部分,小客車,A2,3
703,1,單路部分,機車,A2,1
704,2,交岔路,機車,A2,0
705,0,單路部分,機車,A2,1
706,1,交岔路,機車,A2,0
707,2,交岔路,,A2,0
708,1,交岔路,小客車,A2,2
709,1,交岔路,小客車,A2,2
710,1,交岔路,機車,A2,0
711,1,單路部分,小客車,A2,3
712,1,交岔路,機車,A2,0
713,1,交岔路,小客車,A2,2
714,1,交岔路,機車,A2,0
715,0,單路部分,機車,A2,1
716,2,單路部分,機車,A2,1
717,1,交岔路,機車,A2,0
718,0,交岔路,機車,A2,0
719,1,交岔路,機車,A2,0
720,1,交岔路,小客車,A2,2
721,1,單路部分,機車,A2,1
722,2,交岔路,機車,A2,0
723,2,單路部分,機車,A2,1
724,2,交岔路,機車,A2,0
725,2,交岔路,小貨車(含客、貨兩用),A2,2
726,2,交岔路,機車,A2,0
727,1,交岔路,機車,A2,0
728,0,單路部分,機車,A2,1
729,1,交岔路,機車,A2,0
730,2,交岔路,機車,A2,0
731,2,交岔路,機車,A2,0
732,1,交岔路,機車,A2,0
733,1,交岔路,曳引車,A2,0
734,1,交岔路,小客車,A2,2
735,1,交岔路,小客車,A2,2
736,2,交岔路,機車,A2,0
737,1,交岔路,小貨車(含客、貨兩用),A2,2
738,0,交岔路,機車,A2,0
739,2,交岔路,,A2,0
740,1,交岔路,小客車,A2,2
741,1,單路部分,小客車,A2,3
742,0,交岔路,小客車,A2,2
743,1,交岔路,小客車,A2,2
744,2,單路部分,機車,A2,1
745,1,交岔路,機車,A2,0
746,2,交岔路,小客車,A2,2
747,2,交岔路,小客車,A2,2
748,1,交岔路,小客車,A2,2
749,1,交岔路,機車,A2,0
750,0,交岔路,小貨車(含客、貨兩用),A2,2
751,2,交岔路,機車,A2,0
752,0,交岔路,小客車,A2,2
753,1,交岔路,機車,A2,0
754,2,交岔路,機車,A2,0
755,1,交岔路,機車,A2,0
756,2,交岔路,小客車,A2,2
757,1,交岔路,機車,A2,0
758,1,交岔路,小客車,A2,2
759,2,交岔路,機車,A2,0
760,1,單路部分,機車,A2,1
761,1,交岔路,機車,A2,0
762,1,交岔路,機車,A2,0
763,2,單路部分,機車,A2,1
764,1,單路部分,機車,A2,1
765,0,交岔路,機車,A2,0
766,1,單路部分,機車,A2,1
767,1,交岔路,機車,A2,0
768,1,交岔路,小貨車(含客、貨兩用),A2,2
769,2,交岔路,小客車,A2,2
770,1,交岔路,機車,A2,0
771,1,交岔路,機車,A2,0
772,1,交岔路,小客車,A2,2
773,0,交岔路,機車,A2,0
774,1,交岔路,小客車,A2,2
775,0,交岔路,機車,A2,0
776,0,交岔路,機車,A2,0
777,1,交岔路,機車,A2,0
778,0,交岔路,機車,A2,0
779,0,交岔路,機車,A2,0
780,1,交岔路,機車,A2,0
781,2,單路部分,,A2,1
782,1,單路部分,小貨車(含客、貨兩用),A2,3
783,0,單路部分,小客車,A2,3
